zone,citi_id
2,5558586
2,4030723
2,6113406
2,5993072
2,6162949
2,5977783
2,6149996
2,5911745
2,6111632
2,5914132
2,5933885
2,5930890
2,6112608
2,5350039
2,5570299
2,5565511
2,5559327
2,5563397
2,5563839
2,5569523
2,5562199
2,5568514
2,5567770
2,5558953
2,5559320
2,5843997
2,5715905
2,5730199
2,5562087
2,7260882
2,5712417
2,5742974
2,5720495
2,5720575
2,5742346
2,5727032
2,5747941
2,5758901
2,5742750
2,5736634
2,5736645
2,5757007
2,5751919
2,5756777
2,5759289
2,5750984
2,5711847
2,5805505
2,5815665
2,5797693
2,5785243
2,5807986
2,5789668
2,5803818
2,5794761
2,6151264
2,6049388
2,6098642
2,6048316
2,6085772
2,6047817
2,6143367
2,5943865
2,6089661
2,5960971
2,5349984
2,5394165
2,5388858
2,5393287
2,5339865
2,5388564
2,5381932
2,5382232
2,5347322
2,5396422
2,7261199
2,5378044
2,5391615
2,5362864
2,5388907
2,5373121
2,7262659
2,5365113
2,5392567
2,5339766
2,5393384
2,5374222
2,5375034
2,5370464
2,5399319
2,5330993
2,5409500
2,5404476
2,5338104
2,5354655
2,5364753
2,7261991
2,5356012
2,5376959
2,5362725
2,5410004
2,5369144
2,7261625
2,5337912
2,5337908
2,5332937
2,5356767
2,5564893
2,5573443
2,5747900
2,5729080
2,5749213
2,5733409
2,5718601
2,5740099
2,5760396
2,5745656
2,5724581
2,5755890
2,5711789
2,5574093
2,5761481
2,5729293
2,5749352
2,5755474
2,5757355
2,7262259
2,5742332
2,5751253
2,5758566
2,5734198
2,5730389
2,5725846
2,5720755
2,5721551
2,5754005
2,5755674
2,5760923
2,5751600
2,5745647
2,5722064
2,5720727
2,5741227
2,5739936
2,5732763
2,5717982
2,5735609
2,5710756
2,5722326
2,5750162
2,5734711
2,5724352
2,5733532
2,5727382
2,5730675
2,5742726
2,5736218
2,5728264
2,5711918
2,5711099
2,5761708
2,5751632
2,5732311
2,5735043
2,5713376
2,5741646
2,5754464
2,5754988
2,5752024
2,5761287
2,5756758
2,5760068
2,5757506
2,5747420
2,5740325
2,7261327
2,5717758
2,5735724
2,5743731
2,5740900
2,5733582
2,5760009
2,5744253
2,7262019
2,5728429
2,5742096
2,5741182
2,5719308
2,5736378
2,5713224
2,5730183
2,5755307
2,5758599
2,5727190
2,5720639
2,5815544
2,5743413
2,5731371
2,5801621
2,5801617
2,7262515
2,5799571
2,5789381
2,5750663
2,5749017
2,5713759
2,5799410
2,5743753
2,5718492
2,5720167
2,5750041
2,5718480
2,5759989
2,7262498
2,5816457
2,5808311
2,5794242
2,5800314
2,5746545
2,5800069
2,5796984
2,5814616
2,5809333
2,5803622
2,5804135
2,5786322
2,5814950
2,5794559
2,5805815
2,5803025
2,5788290
2,5786485
2,5793687
2,5810176
2,5808524
2,5795933
2,5794716
2,5789817
2,5789683
2,5814095
2,5805687
2,5785552
2,5786848
2,5800112
2,7262660
2,5801595
2,5799692
2,5808834
2,5815213
2,5787076
2,5792869
2,5788531
2,5794940
2,5785909
2,5816656
2,5805317
2,5812092
2,5789048
2,5816413
2,5795440
2,7261292
2,5802349
2,5814450
2,5800420
2,5794416
2,5926268
2,5807212
2,7262139
2,6174041
2,5809983
2,7262141
2,5807239
2,7260845
2,5789949
2,7261137
2,5810490
2,5807228
2,5804540
2,5801441
2,5813832
2,5807337
2,5805441
2,5807236
2,5788054
2,5793237
2,5806274
2,5793780
2,5796685
2,5812723
2,5802247
2,5788816
2,5795025
2,5798318
2,5816320
2,5811567
2,5906690
2,6122085
2,6173331
2,7602078
2,6090785
2,5795104
2,5911606
2,6087844
2,5937615
2,6111962
2,6159905
2,6180961
2,5927689
2,5787475
2,5787316
2,6105815
2,6049429
2,7669012
2,5785657
2,6065686
2,5794276
2,6049430
2,5802418
2,7261228
2,6180144
2,6100799
2,6115187
2,6113365
2,5955902
3,5354943
3,5346413
3,5410535
3,5386834
3,5384478
3,5408132
3,5325147
3,5377389
3,5372223
3,5398563
3,5330003
3,5380748
3,5345032
3,5368346
3,5330222
3,5368335
3,5330938
3,5369114
3,5327522
3,5375480
3,5347903
3,5400075
3,5341145
3,5393052
3,5393485
3,5393971
3,5404274
3,5374283
3,5367314
3,5368518
3,5366107
3,5379475
3,5397166
3,5393015
3,5334096
3,5333689
3,5342381
3,5331836
3,5333219
3,5334320
3,5380437
3,5394076
3,5373327
3,5387673
3,5324400
3,5392171
3,5374361
3,5364104
3,5341789
3,5394136
3,7260801
3,5323566
3,5344844
3,5339749
3,5370493
3,5350678
3,5323781
3,5334312
3,5334937
3,5407529
3,5380537
3,5365203
3,5359577
3,5385082
3,5391295
3,5374764
3,5324722
3,5392408
3,5352214
3,5345916
3,5380420
3,7261259
3,5393611
3,5330854
3,5330427
3,5345716
3,5327490
3,5341430
3,5397095
3,5402535
3,5391959
3,5391749
3,5397765
3,5330810
3,5373129
3,5357155
3,5377775
3,5331920
3,5410999
3,5387428
3,5392508
3,7261437
3,5374212
3,5388611
3,5392423
3,5401121
3,5345063
3,5345623
3,5383187
3,5322850
3,5345888
3,5356451
3,5376095
3,5346462
3,5362849
3,5327455
3,5327684
3,5350159
3,5378538
3,5388467
3,5323694
3,5391760
3,5405380
3,5322737
3,5382514
3,5340758
3,5379678
3,5327550
3,5392263
3,5370868
3,5374671
3,5392281
3,5364226
3,5375478
3,5325011
3,5336190
3,5285214
3,5334928
3,5355933
3,5393484
3,5380256
3,5406990
3,5383720
3,5406879
3,5347397
3,5376803
3,5399629
3,5347335
3,5322794
3,5339111
3,5404554
3,5404555
